date,AUD,BRL,CAD,CHF,GBP,HKD,INR,JPY,KRW,MXN,NOK,NZD,SEK,SGD,ZAR
2022-01-03,-2.7301587301587303e-06,0.0003433531746031746,3.3452380952380954e-06,-3.3301587301587305e-05,5.285714285714286e-06,3.9682539682539683e-07,0.00015555555555555556,-8.285714285714285e-06,3.452380952380952e-05,0.00024775,2.7468253968253968e-05,1.976984126984127e-05,-8.706349206349207e-06,1.0575396825396827e-05,0.00020552777777777778
2022-01-04,-2.2182539682539683e-06,0.0003285039682539682,4.138888888888889e-06,-3.27936507936508e-05,5.9841269841269834e-06,3.9682539682539683e-07,0.00015277777777777777,-7.662698412698413e-06,3.690476190476191e-05,0.0002433174603174603,2.3488095238095238e-05,1.9690476190476187e-05,-8.464285714285714e-06,1.1682539682539683e-05,0.00021301587301587305
2022-01-05,-1.9880952380952382e-06,0.00035093650793650795,3.4960317460317458e-06,-3.303571428571429e-05,5.6190476190476185e-06,0.0,0.00015158730158730158,-7.801587301587302e-06,3.7301587301587294e-05,0.00023546031746031747,2.425e-05,1.867857142857143e-05,-8.337301587301587e-06,9.896825396825398e-06,0.0002110595238095238
2022-01-06,-1.5158730158730157e-06,0.0003718015873015873,4.051587301587301e-06,-3.2952380952380954e-05,5.793650793650793e-06,-3.9682539682539683e-07,0.000151984126984127,-7.801587301587302e-06,4.047619047619048e-05,0.0002338531746031746,2.396825396825397e-05,1.8595238095238096e-05,-8.575396825396824e-06,9.071428571428571e-06,0.00020269444444444444
2022-01-07,-1.8174603174603176e-06,0.0003792380952380953,4.293650793650794e-06,-3.378174603174603e-05,5.48015873015873e-06,7.936507936507937e-07,0.00015317460317460315,-8.253968253968254e-06,3.531746031746032e-05,0.00023551190476190476,2.4440476190476194e-05,2.146825396825397e-05,-9.011904761904762e-06,7.567460317460317e-06,0.0001934126984126984
2022-01-10,-2.103174603174603e-06,0.000346297619047619,4.007936507936508e-06,-3.371031746031746e-05,4.757936507936508e-06,1.1904761904761904e-06,0.00015515873015873016,-8.76984126984127e-06,3.134920634920635e-05,0.00023761904761904762,2.632142857142857e-05,2.2551587301587304e-05,-9.480158730158731e-06,7.65873015873016e-06,0.00019439682539682538
2022-01-11,-2.3373015873015873e-06,0.0003428452380952381,3.400793650793651e-06,-3.3892857142857146e-05,5.226190476190476e-06,1.1904761904761904e-06,0.0001507936507936508,-8.956349206349208e-06,3.095238095238095e-05,0.00023025396825396822,2.7404761904761904e-05,2.0186507936507937e-05,-9.591269841269841e-06,7.567460317460317e-06,0.00020833730158730158
2022-01-12,-1.4206349206349205e-06,0.0003656865079365079,4.416666666666667e-06,-3.3865079365079364e-05,6.174603174603174e-06,1.1904761904761904e-06,0.00015039682539682542,-8.611111111111112e-06,3.571428571428572e-05,0.00023651190476190473,3.0119047619047622e-05,2.0448412698412697e-05,-9.876984126984127e-06,8.067460317460318e-06,0.00021009126984126983
2022-01-13,-1.6230158730158728e-06,0.00039330952380952386,4.880952380952381e-06,-3.3833333333333334e-05,7.821428571428571e-06,2.3809523809523808e-06,0.00015436507936507937,-8.424603174603174e-06,3.809523809523809e-05,0.00023671031746031745,2.9698412698412695e-05,2.0785714285714288e-05,-9.896825396825398e-06,8.51984126984127e-06,0.00020438888888888888
2022-01-14,-2.238095238095238e-06,0.00038708730158730156,5.3769841269841275e-06,-3.3718253968253964e-05,7.75e-06,3.1746031746031746e-06,0.00015595238095238097,-8.440476190476191e-06,4.523809523809523e-05,0.00024392460317460316,2.925e-05,2.1388888888888892e-05,-9.702380952380953e-06,8.007936507936509e-06,0.0002044246031746032
2022-01-17,-1.2857142857142856e-06,0.00036775,6.519841269841269e-06,-3.3575396825396825e-05,8.51984126984127e-06,2.7777777777777783e-06,0.00015793650793650795,-8.53968253968254e-06,3.888888888888889e-05,0.00024318650793650796,2.6992063492063493e-05,2.0634920634920633e-05,-9.761904761904762e-06,7.793650793650794e-06,0.00021047619047619048
2022-01-18,-2.4563492063492064e-06,0.00036201190476190475,6.357142857142858e-06,-3.435714285714286e-05,8.015873015873016e-06,1.984126984126984e-06,0.00015634920634920635,-8.797619047619048e-06,3.3730158730158734e-05,0.00024971031746031747,2.4309523809523812e-05,2.076984126984127e-05,-1.0376984126984127e-05,4.575396825396825e-06,0.00021508730158730158
2022-01-19,-2.4325396825396825e-06,0.0003842222222222222,7.19047619047619e-06,-3.4e-05,9.432539682539682e-06,2.3809523809523808e-06,0.0001623015873015873,-8.734126984126984e-06,3.1746031746031745e-05,0.0002506031746031746,2.3682539682539683e-05,2.151984126984127e-05,-1.0095238095238096e-05,5.440476190476191e-06,0.00021392857142857143
2022-01-20,-2.0714285714285713e-06,0.00039196825396825395,8.277777777777778e-06,-3.367063492063492e-05,9.746031746031747e-06,1.984126984126984e-06,0.0001603174603174603,-8.349206349206349e-06,3.6111111111111116e-05,0.00024583730158730157,2.3321428571428572e-05,2.1742063492063494e-05,-9.36904761904762e-06,8.48015873015873e-06,0.0002135
2022-01-21,-2.7777777777777783e-06,0.00040323412698412697,8.575396825396824e-06,-3.4261904761904756e-05,9.36904761904762e-06,1.984126984126984e-06,0.0001634920634920635,-8.813492063492063e-06,3.452380952380952e-05,0.0002458253968253968,2.33968253968254e-05,2.4472222222222224e-05,-9.28968253968254e-06,8.753968253968254e-06,0.00022057936507936508
2022-01-24,-2.912698412698413e-06,0.0003861468253968254,7.908730158730159e-06,-3.4658730158730155e-05,9.472222222222222e-06,3.1746031746031746e-06,0.0001666666666666667,-9.297619047619048e-06,4.444444444444445e-05,0.000248468253968254,2.4384920634920636e-05,2.462698412698413e-05,-9.873015873015872e-06,8.51190476190476e-06,0.0002222142857142857
2022-01-25,-2.797619047619047e-06,0.00038242857142857143,8.218253968253967e-06,-3.4773809523809525e-05,9.71825396825397e-06,3.968253968253968e-06,0.00016388888888888887,-9.03968253968254e-06,4.3650793650793655e-05,0.0002485198412698413,2.5781746031746033e-05,2.369047619047619e-05,-1.005952380952381e-05,7.980158730158732e-06,0.00022973412698412698
2022-01-26,-2.7500000000000004e-06,0.00042571031746031746,2.884920634920635e-06,-3.409920634920635e-05,1.0301587301587301e-05,3.5714285714285714e-06,0.00016190476190476192,-8.365079365079365e-06,4.682539682539682e-05,0.0002453888888888889,2.590873015873016e-05,2.503174603174603e-05,-1.0031746031746033e-05,9.11111111111111e-06,0.0002218095238095238
2022-01-27,-2.880952380952381e-06,0.0004329920634920635,2.6706349206349206e-06,-3.407142857142857e-05,1.1519841269841271e-05,2.3809523809523808e-06,0.00018214285714285712,-8.936507936507937e-06,4.603174603174603e-05,0.00024608730158730155,2.5305555555555558e-05,2.4956349206349207e-05,-1.0230158730158729e-05,9.813492063492063e-06,0.00022145238095238093
2022-01-28,-2.742063492063492e-06,0.0003842539682539682,2.9761904761904763e-06,-3.437301587301587e-05,1.1626984126984127e-05,2.3809523809523808e-06,0.00016825396825396826,-8.936507936507937e-06,4.9206349206349204e-05,0.00024129761904761904,2.550793650793651e-05,2.5214285714285712e-05,-1.0075396825396825e-05,9.23015873015873e-06,0.00021243253968253968
